service_date_key,actual_engineer_count,assigned_engineer_count,actual_only_count,assigned_only_count,actual_only_same_region_as_plan_count,actual_only_region_known_count,actual_only_same_region_ratio,actual_only_engineers,assigned_only_engineers
2026-01-01,2,2,2,2,0,2,0.0,"40324200, 40324201","AI005576, AI102961"
2026-01-02,4,9,1,6,0,1,0.0,SMCCOLLUM,"AI005576, AI102315, AI102961, AI102977, AI103264, AI103317"
2026-01-03,0,3,0,3,0,0,,,"AI005576, AI102961, JMOTOS2"
2026-01-05,5,10,1,6,0,1,0.0,43143200,"AI005576, AI102315, AI102961, AI102977, AI103261, JMOTOS2"
2026-01-06,12,15,3,6,0,3,0.0,"40324201, AI102448, SMCCOLLUM","AI005576, AI102608, AI102933, AI102961, AI102977, AI103317"
2026-01-07,13,15,4,6,1,4,0.25,"40324201, 43143200, AI105115, SMCCOLLUM","AI102608, AI102933, AI102961, AI102977, AI103317, JMOTOS2"
2026-01-08,15,16,4,5,1,4,0.25,"40324201, 43143200, AI105115, SMCCOLLUM","AI102087, AI102448, AI103317, AI105116, JMOTOS2"
2026-01-09,9,16,2,9,1,2,0.5,"AI105115, SMCCOLLUM","AI102087, AI102448, AI102961, AI102977, AI103128, AI103146, AI103261, AI103317, JMOTOS2"
2026-01-10,1,3,1,3,0,1,0.0,40324200,"AI005576, AI102961, JMOTOS2"
2026-01-11,0,1,0,1,0,0,,,AI005576
2026-01-12,17,17,3,3,0,3,0.0,"40324201, AI103289, SMCCOLLUM","AI103317, AI105115, AI105116"
2026-01-13,15,15,3,3,0,3,0.0,"AI103289, AI103976, SMCCOLLUM","AI102961, AI105116, JMOTOS2"
2026-01-14,16,17,3,4,0,3,0.0,"40324201, AI103289, SMCCOLLUM","AI103317, AI105115, AI105116, JMOTOS2"
2026-01-15,15,17,2,4,0,2,0.0,"AI103289, AI103976","AI103146, AI105115, AI105116, JMOTOS2"
2026-01-16,13,17,2,6,0,2,0.0,"40324201, AI103289","AI102315, AI102961, AI103317, AI105115, AI105116, JMOTOS2"
2026-01-17,1,1,1,1,1,1,1.0,AI103128,AI102961
2026-01-19,16,17,4,5,0,4,0.0,"40324201, AI103143, AI103289, AI103976","AI103146, AI103317, AI105115, AI105116, JMOTOS2"
2026-01-20,17,17,4,4,0,4,0.0,"AI103143, AI103289, AI103976, SMCCOLLUM","AI103317, AI105115, AI105116, JMOTOS2"
2026-01-21,14,17,3,6,0,3,0.0,"AI103143, AI103289, SMCCOLLUM","AI102448, AI102933, AI103317, AI105115, AI105116, JMOTOS2"
2026-01-22,16,17,4,5,0,4,0.0,"40324201, AI103143, AI103289, SMCCOLLUM","AI102448, AI102977, AI105115, AI105116, JMOTOS2"
2026-01-23,15,15,4,4,1,4,0.25,"AI100033, AI102933, AI103143, SMCCOLLUM","AI102448, AI103317, AI105116, JMOTOS2"
2026-01-24,1,2,1,2,0,1,0.0,40324200,"AI005576, AI102977"
2026-01-26,8,10,2,4,0,2,0.0,"40324201, SMCCOLLUM","40324200, AI005576, AI105116, JMOTOS2"
2026-01-27,17,17,3,3,0,3,0.0,"40324201, AI103143, SMCCOLLUM","AI103128, AI105116, JMOTOS2"
2026-01-28,16,16,2,2,1,2,0.5,"AI103143, AI105115","AI105116, JMOTOS2"
2026-01-29,15,17,2,4,0,2,0.0,"40324201, AI103143","AI102087, AI103264, AI103317, JMOTOS2"
2026-01-30,13,17,1,5,0,1,0.0,SMCCOLLUM,"AI005576, AI102087, AI103261, AI103317, JMOTOS2"
2026-01-31,1,1,1,1,1,1,1.0,AI105116,AI102977
2026-02-01,0,1,0,1,0,0,,,AI102961
2026-02-02,13,17,2,6,0,2,0.0,"40324201, SMCCOLLUM","AI005576, AI103128, AI103146, AI103317, AI105116, JMOTOS2"
2026-02-03,15,17,1,3,0,1,0.0,SMCCOLLUM,"AI005576, AI103317, JMOTOS2"
2026-02-04,13,17,1,5,0,1,0.0,SMCCOLLUM,"AI102961, AI102977, AI103317, AI105116, JMOTOS2"
2026-02-05,17,17,2,2,0,2,0.0,"40324201, SMCCOLLUM","AI103317, JMOTOS2"
2026-02-06,13,17,2,6,0,2,0.0,"40324201, SMCCOLLUM","AI005576, AI102933, AI102977, AI103261, AI103317, JMOTOS2"
2026-02-07,2,8,0,6,0,0,,,"40324200, AI102315, AI102448, AI102608, AI102961, JMOTOS2"
2026-02-09,15,16,1,2,0,1,0.0,SMCCOLLUM,"AI103317, JMOTOS2"
2026-02-10,17,16,3,2,0,3,0.0,"AI103264, AI103976, SMCCOLLUM","AI105116, JMOTOS2"
2026-02-11,13,17,1,5,0,1,0.0,40324201,"AI102933, AI102977, AI103317, AI105116, JMOTOS2"
2026-02-12,16,16,3,3,1,3,0.3333333333333333,"40324201, 43143200, AI105115","AI005576, AI103264, JMOTOS2"
2026-02-13,11,17,1,7,0,1,0.0,SMCCOLLUM,"AI102933, AI102961, AI103146, AI103261, AI103317, AI105115, JMOTOS2"
2026-02-14,2,3,1,2,1,1,1.0,AI102608,"AI102961, AI102977"
2026-02-16,3,9,2,8,0,2,0.0,"40324200, 40324201","AI005576, AI102315, AI102933, AI102961, AI102977, AI103261, AI103317, JMOTOS2"
2026-02-17,16,17,3,4,0,3,0.0,"40324201, AI100033, SMCCOLLUM","AI102448, AI103264, AI103317, JMOTOS2"
2026-02-18,15,17,1,3,0,1,0.0,AI100033,"AI102977, AI103317, JMOTOS2"
2026-02-19,15,17,1,3,0,1,0.0,AI100033,"AI005576, AI105116, JMOTOS2"
2026-02-20,15,16,2,3,1,2,0.5,"AI105115, SMCCOLLUM","AI102961, AI103317, JMOTOS2"
2026-02-21,2,2,2,2,1,2,0.5,"40324201, AI102608","AI005576, AI102977"
2026-02-22,1,1,1,1,1,1,1.0,AI102315,AI102961
2026-02-23,16,15,3,2,2,3,0.6666666666666666,"AI102933, AI105115, SMCCOLLUM","AI103317, JMOTOS2"
2026-02-24,17,17,1,1,0,1,0.0,SMCCOLLUM,JMOTOS2
2026-02-25,15,16,2,3,1,2,0.5,"AI105115, SMCCOLLUM","AI102977, AI103317, JMOTOS2"
2026-02-26,17,17,2,2,0,2,0.0,"40324201, SMCCOLLUM","AI103146, JMOTOS2"
2026-02-27,17,17,1,1,0,1,0.0,SMCCOLLUM,JMOTOS2
2026-02-28,0,1,0,1,0,0,,,AI102961
2026-03-02,14,17,0,3,0,0,,,"40324200, AI105115, JMOTOS2"
2026-03-03,1,7,1,7,1,1,1.0,AI105116,"AI102087, AI102315, AI102448, AI102961, AI102977, AI103128, AI103264"
2026-03-04,8,13,2,7,2,2,1.0,"AI102087, AI105116","40324200, AI102315, AI102448, AI102608, AI102977, AI103264, JMOTOS2"
2026-03-05,8,7,4,3,3,4,0.75,"AI102087, AI102448, AI103317, AI105115","40324200, AI005576, JMOTOS2"
2026-03-06,3,3,3,3,2,3,0.6666666666666666,"AI102315, AI102448, AI103261","AI005576, AI102961, JMOTOS2"
2026-03-09,3,4,1,2,0,1,0.0,AI102448,"AI005576, AI102977"
