service_date_key,actual_total_attendance,current_roster_present_total,added_present_total,supplemented_total,can_match_actual_headcount,headcount_gap_supplemented_minus_actual
2026-01-01,2,1,1,2,True,0
2026-01-02,4,3,1,4,True,0
2026-01-03,0,0,0,0,True,0
2026-01-05,5,4,1,5,True,0
2026-01-06,12,10,2,12,True,0
2026-01-07,13,10,3,13,True,0
2026-01-08,15,12,3,15,True,0
2026-01-09,9,8,1,9,True,0
2026-01-10,1,1,0,1,True,0
2026-01-11,0,0,0,0,True,0
2026-01-12,17,14,3,17,True,0
2026-01-13,15,12,3,15,True,0
2026-01-14,16,13,3,16,True,0
2026-01-15,15,13,2,15,True,0
2026-01-16,13,11,2,13,True,0
2026-01-17,1,1,0,1,True,0
2026-01-19,16,12,4,16,True,0
2026-01-20,17,13,4,17,True,0
2026-01-21,14,11,3,14,True,0
2026-01-22,16,12,4,16,True,0
2026-01-23,15,12,3,15,True,0
2026-01-24,1,1,0,1,True,0
2026-01-26,8,6,2,8,True,0
2026-01-27,17,14,3,17,True,0
2026-01-28,16,15,1,16,True,0
2026-01-29,15,13,2,15,True,0
2026-01-30,13,12,1,13,True,0
2026-01-31,1,1,0,1,True,0
2026-02-01,0,0,0,0,True,0
2026-02-02,13,11,2,13,True,0
2026-02-03,15,14,1,15,True,0
2026-02-04,13,12,1,13,True,0
2026-02-05,17,15,2,17,True,0
2026-02-06,13,11,2,13,True,0
2026-02-07,2,2,0,2,True,0
2026-02-09,15,14,1,15,True,0
2026-02-10,17,15,2,17,True,0
2026-02-11,13,12,1,13,True,0
2026-02-12,16,14,2,16,True,0
2026-02-13,11,10,1,11,True,0
2026-02-14,2,2,0,2,True,0
2026-02-16,3,2,1,3,True,0
2026-02-17,16,13,3,16,True,0
2026-02-18,15,14,1,15,True,0
2026-02-19,15,14,1,15,True,0
2026-02-20,15,14,1,15,True,0
2026-02-21,2,1,1,2,True,0
2026-02-22,1,1,0,1,True,0
2026-02-23,16,15,1,16,True,0
2026-02-24,17,16,1,17,True,0
2026-02-25,15,14,1,15,True,0
2026-02-26,17,15,2,17,True,0
2026-02-27,17,16,1,17,True,0
2026-02-28,0,0,0,0,True,0
2026-03-02,14,14,0,14,True,0
2026-03-03,1,1,0,1,True,0
2026-03-04,8,8,0,8,True,0
2026-03-05,8,8,0,8,True,0
2026-03-06,3,3,0,3,True,0
2026-03-09,3,3,0,3,True,0
