salesforce_id,receipt_no,employee_code,sequence,planned_start,planned_end,changed
RNN260329051892,RNN260329051892,AI005576,1,2026-03-31T09:21:00-04:00,2026-03-31T10:06:00-04:00,False
RNN260327045907,RNN260327045907,AI005576,2,2026-03-31T10:22:00-04:00,2026-03-31T11:07:00-04:00,False
RNN260331060844,RNN260331060844,AI005576,3,2026-03-31T11:16:00-04:00,2026-03-31T12:56:00-04:00,False
RNN260328050280,RNN260328050280,AI102087,1,2026-03-31T09:17:00-04:00,2026-03-31T10:57:00-04:00,True
RNN260327044720,RNN260327044720,AI102087,2,2026-03-31T11:26:00-04:00,2026-03-31T13:06:00-04:00,True
RNN260329051578,RNN260329051578,AI102608,1,2026-03-31T09:10:00-04:00,2026-03-31T10:50:00-04:00,False
RNN260328048779,RNN260328048779,AI102608,2,2026-03-31T11:06:00-04:00,2026-03-31T11:51:00-04:00,False
RNN260327044872,RNN260327044872,AI102608,3,2026-03-31T13:10:00-04:00,2026-03-31T13:55:00-04:00,True
RNN260327047201,RNN260327047201,AI102961,1,2026-03-31T09:16:00-04:00,2026-03-31T10:56:00-04:00,True
RNN260325036111,RNN260325036111,AI102961,2,2026-03-31T11:03:00-04:00,2026-03-31T11:48:00-04:00,True
RNN260324029886,RNN260324029886,AI102961,3,2026-03-31T13:04:00-04:00,2026-03-31T13:49:00-04:00,False
RNN260330054643,RNN260330054643,AI102977,1,2026-03-31T09:26:00-04:00,2026-03-31T10:11:00-04:00,True
RNN260329051001,RNN260329051001,AI102977,2,2026-03-31T10:23:00-04:00,2026-03-31T12:03:00-04:00,True
RNN260330052248,RNN260330052248,AI102977,3,2026-03-31T13:25:00-04:00,2026-03-31T14:10:00-04:00,True
RNN260327044717,RNN260327044717,AI102315,1,2026-03-31T09:20:00-04:00,2026-03-31T11:00:00-04:00,True
RNN260318099850,RNN260318099850,AI102315,2,2026-03-31T13:01:00-04:00,2026-03-31T13:46:00-04:00,True
RNN260329051407,RNN260329051407,AI102933,1,2026-03-31T09:28:00-04:00,2026-03-31T10:13:00-04:00,False
RNN260330054152,RNN260330054152,AI102933,2,2026-03-31T10:34:00-04:00,2026-03-31T11:19:00-04:00,True
RNN260327044342,RNN260327044342,AI102933,3,2026-03-31T11:29:00-04:00,2026-03-31T12:14:00-04:00,True
RNN260323021594,RNN260323021594,AI102933,4,2026-03-31T13:23:00-04:00,2026-03-31T14:08:00-04:00,True
RNN260330052836,RNN260330052836,AI103128,1,2026-03-31T09:34:00-04:00,2026-03-31T11:14:00-04:00,False
RNN260324030009,RNN260324030009,AI103128,2,2026-03-31T13:34:00-04:00,2026-03-31T14:19:00-04:00,False
RNN260329051907,RNN260329051907,AI103146,1,2026-03-31T09:19:00-04:00,2026-03-31T10:59:00-04:00,False
RNN260326042155,RNN260326042155,AI103146,2,2026-03-31T11:24:00-04:00,2026-03-31T12:09:00-04:00,True
RNN260330057676,RNN260330057676,AI103146,3,2026-03-31T13:11:00-04:00,2026-03-31T13:56:00-04:00,True
RNN260328048728,RNN260328048728,AI103264,1,2026-03-31T09:20:00-04:00,2026-03-31T10:05:00-04:00,True
RNN260330052563,RNN260330052563,AI103264,2,2026-03-31T10:28:00-04:00,2026-03-31T12:08:00-04:00,True
RNN260323024038,RNN260323024038,AI103264,3,2026-03-31T13:23:00-04:00,2026-03-31T14:08:00-04:00,True
RNN260328049141,RNN260328049141,AI103317,1,2026-03-31T09:14:00-04:00,2026-03-31T09:59:00-04:00,True
RNN260324029921,RNN260324029921,AI103317,2,2026-03-31T10:38:00-04:00,2026-03-31T12:18:00-04:00,False
RNN260328050247,RNN260328050247,AI102448,1,2026-03-31T09:11:00-04:00,2026-03-31T09:56:00-04:00,True
RNN260330055907,RNN260330055907,AI102448,2,2026-03-31T10:25:00-04:00,2026-03-31T11:10:00-04:00,True
RNN260328049693,RNN260328049693,AI102448,3,2026-03-31T12:57:00-04:00,2026-03-31T13:42:00-04:00,True
RNN260327047292,RNN260327047292,AI103261,1,2026-03-31T09:34:00-04:00,2026-03-31T10:19:00-04:00,False
RNN260325037290,RNN260325037290,AI103261,2,2026-03-31T11:01:00-04:00,2026-03-31T11:46:00-04:00,True
RNN260330056126,RNN260330056126,AI103261,3,2026-03-31T12:48:00-04:00,2026-03-31T13:33:00-04:00,True
RNN260327047906,RNN260327047906,AI105115,1,2026-03-31T09:55:00-04:00,2026-03-31T10:40:00-04:00,True
RNN260330055628,RNN260330055628,AI105115,2,2026-03-31T10:55:00-04:00,2026-03-31T11:40:00-04:00,True
RNN260326039101,RNN260326039101,AI105115,3,2026-03-31T12:53:00-04:00,2026-03-31T13:38:00-04:00,True
RNN260328048713,RNN260328048713,AI105116,1,2026-03-31T09:27:00-04:00,2026-03-31T11:07:00-04:00,True
RNN260328048862,RNN260328048862,AI105116,2,2026-03-31T11:20:00-04:00,2026-03-31T13:00:00-04:00,True
